GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spacelabs,com.rawlabs.spacelabs.component,TokenProvider,0,116,0,0,0,30,0,9,0,9
spacelabs,com.rawlabs.spacelabs.component,UnauthorizedEntryPoint,0,52,0,2,0,17,0,3,0,2
spacelabs,com.rawlabs.spacelabs.service,AuthService,0,75,0,2,0,20,0,4,0,3
spacelabs,com.rawlabs.spacelabs.service,UserService,0,108,0,2,0,32,0,6,0,5
spacelabs,com.rawlabs.spacelabs.service,GuestService,59,4,0,0,19,1,2,1,2,1
spacelabs,com.rawlabs.spacelabs.service,PaymentMethodService,0,56,0,4,0,16,0,7,0,5
spacelabs,com.rawlabs.spacelabs.service,CoworkingSpaceService,0,66,0,8,0,16,0,9,0,5
spacelabs,com.rawlabs.spacelabs.service,TransactionService,0,183,0,6,0,50,0,7,0,4
spacelabs,com.rawlabs.spacelabs.controller,BookingController,0,20,0,0,0,6,0,4,0,4
spacelabs,com.rawlabs.spacelabs.controller,AuthController,0,23,0,0,0,7,0,4,0,4
spacelabs,com.rawlabs.spacelabs.controller,ProfileController,0,15,0,0,0,5,0,3,0,3
spacelabs,com.rawlabs.spacelabs.controller,CoworkingSpaceController,0,26,0,0,0,8,0,5,0,5
